Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,fg1fgiv,0.6531191903459433,1.0871970656714096,0.6392020884420111,0.6670362922498756,11304,Donor flag,Older Canadians Donation Rates,CA,
Senior,65 to 74,2018,fg1fgiv,0.7690428533098695,1.4913566718431355,0.7465636894491184,0.7915220171706207,3019,Donor flag,Older Canadians Donation Rates,CA,
Senior,75 plus,2018,fg1fgiv,0.7813933352443747,1.8475585159392187,0.7530979249364869,0.8096887455522626,1826,Donor flag,Older Canadians Donation Rates,CA,
Senior,15 to 64,2018,SecDonFlag,0.6092912371250575,1.1975271265283856,0.5949905013347617,0.6235919729153533,11304,Secular donor flag,Older Canadians Donation Rates,CA,
Senior,65 to 74,2018,SecDonFlag,0.7263518734328317,1.6907729342593876,0.7022816324056493,0.7504221144600141,3019,Secular donor flag,Older Canadians Donation Rates,CA,
Senior,75 plus,2018,SecDonFlag,0.7221844741827498,2.084030759357204,0.692685944935817,0.7516830034296825,1826,Secular donor flag,Older Canadians Donation Rates,CA,
Senior,15 to 64,2018,RelDonFlag,0.21808793958649775,2.6918143692503556,0.20658192692509844,0.22959395224789705,11304,Religious donor flag,Older Canadians Donation Rates,CA,
Senior,65 to 74,2018,RelDonFlag,0.32502145921086195,3.9382139391872384,0.29993384100270054,0.35010907741902336,3019,Religious donor flag,Older Canadians Donation Rates,CA,
Senior,75 plus,2018,RelDonFlag,0.40789566286641976,4.1667187649178645,0.37458437933347466,0.44120694639936486,1826,Religious donor flag,Older Canadians Donation Rates,CA,
Senior2,15 to 64,2018,fg1fgiv,0.6531191903459433,1.0871970656714096,0.6392020884420111,0.6670362922498756,11304,Donor flag,Older Canadians Donation Rates,CA,
Senior2,65 plus,2018,fg1fgiv,0.7741175686995956,1.1715804059503572,0.756341852220908,0.7918932851782832,4845,Donor flag,Older Canadians Donation Rates,CA,
Senior2,15 to 64,2018,SecDonFlag,0.6092912371250575,1.1975271265283856,0.5949905013347617,0.6235919729153533,11304,Secular donor flag,Older Canadians Donation Rates,CA,
Senior2,65 plus,2018,SecDonFlag,0.724639522026492,1.3294347189394287,0.7057579945751304,0.7435210494778535,4845,Secular donor flag,Older Canadians Donation Rates,CA,
Senior2,15 to 64,2018,RelDonFlag,0.21808793958649775,2.6918143692503556,0.20658192692509844,0.22959395224789705,11304,Religious donor flag,Older Canadians Donation Rates,CA,
Senior2,65 plus,2018,RelDonFlag,0.35907381432804675,2.8905265787537977,0.3387311050175983,0.3794165236384952,4845,Religious donor flag,Older Canadians Donation Rates,CA,
Senior,15 to 64,2018,fg1fgiv,0.6497865970251068,1.2233724704379272,0.634206235047758,0.6653669590024556,9905,Donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,65 to 74,2018,fg1fgiv,0.7713787065825158,1.5306373783360911,0.7482373906269449,0.7945200225380867,2647,Donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,75 plus,2018,fg1fgiv,0.7824103788933219,1.9106188012922531,0.7531111128714041,0.8117096449152397,1584,Donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,15 to 64,2018,SecDonFlag,0.6049286048147721,1.3147888398145775,0.5893399650464463,0.6205172445830979,9905,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,65 to 74,2018,SecDonFlag,0.7299880489798087,1.7004846486932652,0.7056583600197814,0.754317737939836,2647,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,75 plus,2018,SecDonFlag,0.7115167158323852,2.2899886627202743,0.679581744488955,0.7434516871758153,1584,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,15 to 64,2018,RelDonFlag,0.22012129541631867,3.047153988119432,0.2069749647169913,0.23326762611564603,9905,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,65 to 74,2018,RelDonFlag,0.3122436776789347,4.192207322800579,0.2865879405693367,0.3378994147885327,2647,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,75 plus,2018,RelDonFlag,0.4098517389781804,4.322237307801764,0.3751314380367545,0.44457203991960625,1584,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
Senior2,15 to 64,2018,fg1fgiv,0.6497865970251068,1.2233724704379272,0.634206235047758,0.6653669590024556,9905,Donor flag,Older Canadians Donation Rates,CA (without QC),
Senior2,65 plus,2018,fg1fgiv,0.7758957919006247,1.1789662330313135,0.7579669245493856,0.7938246592518639,4231,Donor flag,Older Canadians Donation Rates,CA (without QC),
Senior2,15 to 64,2018,SecDonFlag,0.6049286048147721,1.3147888398145775,0.5893399650464463,0.6205172445830979,9905,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
Senior2,65 plus,2018,SecDonFlag,0.7224246818478471,1.4021577461791086,0.7025711607394549,0.7422782029562394,4231,Secular donor flag,Older Canadians Donation Rates,CA (without QC),
Senior2,15 to 64,2018,RelDonFlag,0.22012129541631867,3.047153988119432,0.2069749647169913,0.23326762611564603,9905,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
Senior2,65 plus,2018,RelDonFlag,0.35221077679155016,2.959698795333922,0.33177937111956063,0.3726421824635397,4231,Religious donor flag,Older Canadians Donation Rates,CA (without QC),
Senior,15 to 64,2018,fg1fgiv,0.6543409117058462,3.1906092114298255,0.6134218392672615,0.6952599841444309,1098,Donor flag,Older Canadians Donation Rates,AB,
Senior,65 to 74,2018,fg1fgiv,0.6775507684514948,5.546798006556607,0.6038906718628889,0.7512108650401006,197,Donor flag,Older Canadians Donation Rates,AB,
Senior,75 plus,2018,fg1fgiv,0.8247561733385321,4.574833735843904,0.7508043338794675,0.8987080127975967,117,Donor flag,Older Canadians Donation Rates,AB,
Senior,15 to 64,2018,fg1fgiv,0.7076286441684517,1.7696577401326672,0.6830847892329044,0.7321724991039991,2765,Donor flag,Older Canadians Donation Rates,AT,
Senior,65 to 74,2018,fg1fgiv,0.8062822343564663,2.374552938229037,0.7687575508607946,0.843806917852138,835,Donor flag,Older Canadians Donation Rates,AT,
Senior,75 plus,2018,fg1fgiv,0.8203130220914354,2.990251101484248,0.772236243939482,0.8683898002433889,448,Donor flag,Older Canadians Donation Rates,AT,
Senior,15 to 64,2018,fg1fgiv,0.6063303080172882,2.9646009736465535,0.5710994179436671,0.6415611980909092,1483,Donor flag,Older Canadians Donation Rates,BC,
Senior,65 to 74,2018,fg1fgiv,0.7378357623697674,3.8615529040165395,0.681992628634332,0.7936788961052029,431,Donor flag,Older Canadians Donation Rates,BC,
Senior,75 plus,2018,fg1fgiv,0.698039699420529,5.095527457596801,0.628326123531542,0.767753275309516,263,Donor flag,Older Canadians Donation Rates,BC,
Senior,15 to 64,2018,fg1fgiv,0.6507396240790799,1.8237430000093375,0.6274791275528546,0.6740001206053052,3056,Donor flag,Older Canadians Donation Rates,ON,
Senior,65 to 74,2018,fg1fgiv,0.792169902210442,2.293805173892014,0.7565557216036733,0.8277840828172107,795,Donor flag,Older Canadians Donation Rates,ON,
Senior,75 plus,2018,fg1fgiv,0.8030412295615285,2.7795484904938594,0.7592930295260734,0.8467894295969836,495,Donor flag,Older Canadians Donation Rates,ON,
