Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Senior,15 to 64,2018,gs1datot,524.0903161596926,3.647244269218804,486.62589070748845,561.5547416118968,8224,Total donation amount,Older Canadians Average Donation Amounts,CA,
Senior,65 to 74,2018,gs1datot,675.9854389509304,5.836282785970081,598.6601131020993,753.3107647997615,2439,Total donation amount,Older Canadians Average Donation Amounts,CA,
Senior,75 plus,2018,gs1datot,778.1525348344115,6.8566364653764715,673.5784791415081,882.726590527315,1491,Total donation amount,Older Canadians Average Donation Amounts,CA,
Senior,15 to 64,2018,SecDonAmt,306.06082298160277,3.5798184657613885,284.5866307413642,327.5350152218413,7845,Secular donation amount,Older Canadians Average Donation Amounts,CA,
Senior,65 to 74,2018,SecDonAmt,365.0375641019738,5.057356401428025,328.8541777855789,401.2209504183688,2321,Secular donation amount,Older Canadians Average Donation Amounts,CA,
Senior,75 plus,2018,SecDonAmt,397.59096291770965,8.676763235433931,329.9760734442121,465.2058523912072,1373,Secular donation amount,Older Canadians Average Donation Amounts,CA,
Senior,15 to 64,2018,gs1dax13,691.2146272733405,5.833596448082838,612.1836425002335,770.2456120464475,2780,Religious donation amount,Older Canadians Average Donation Amounts,CA,
Senior,65 to 74,2018,gs1dax13,767.6277882004844,9.144834025830413,630.041673576593,905.2139028243757,1090,Religious donation amount,Older Canadians Average Donation Amounts,CA,
Senior,75 plus,2018,gs1dax13,761.3776675085008,8.672343764520072,631.9626397853635,890.7926952316382,840,Religious donation amount,Older Canadians Average Donation Amounts,CA,
Senior2,15 to 64,2018,gs1datot,524.0903161596926,3.647244269218804,486.62589070748845,561.5547416118968,8224,Total donation amount,Older Canadians Average Donation Amounts,CA,
Senior2,65 plus,2018,gs1datot,718.359648793434,4.435743127982237,655.9062024503719,780.813095136496,3930,Total donation amount,Older Canadians Average Donation Amounts,CA,
Senior2,15 to 64,2018,SecDonAmt,306.06082298160277,3.5798184657613885,284.5866307413642,327.5350152218413,7845,Secular donation amount,Older Canadians Average Donation Amounts,CA,
Senior2,65 plus,2018,SecDonAmt,378.3681812277765,4.68546203633186,343.62135664215054,413.1150058134025,3694,Secular donation amount,Older Canadians Average Donation Amounts,CA,
Senior2,15 to 64,2018,gs1dax13,691.2146272733405,5.833596448082838,612.1836425002335,770.2456120464475,2780,Religious donation amount,Older Canadians Average Donation Amounts,CA,
Senior2,65 plus,2018,gs1dax13,764.7104851793472,6.391200694149048,668.9188490049401,860.5021213537543,1930,Religious donation amount,Older Canadians Average Donation Amounts,CA,
Senior,15 to 64,2018,gs1datot,619.1631673547578,3.8984601186406618,571.853891558447,666.4724431510685,7214,Total donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,65 to 74,2018,gs1datot,763.9181117077308,5.323588881841239,684.2105714433627,843.6256519720988,2139,Total donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,75 plus,2018,gs1datot,906.0954243338648,7.393031317094717,774.8015167063807,1037.389331961349,1292,Total donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,15 to 64,2018,SecDonAmt,347.52495864458945,3.9296133638755206,320.758931538963,374.2909857502159,6881,Secular donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,65 to 74,2018,SecDonAmt,413.61184204429946,5.573826055057344,368.4268232922905,458.7968607963084,2037,Secular donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,75 plus,2018,SecDonAmt,450.9628798700286,9.434146492179034,367.5771946536337,534.3485650864235,1182,Secular donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,15 to 64,2018,gs1dax13,843.2690377774901,5.967656705353765,744.6369836948161,941.9010918601641,2455,Religious donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,65 to 74,2018,gs1dax13,903.5764793600569,7.558258520727176,769.7214323878177,1037.431526332296,947,Religious donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,75 plus,2018,gs1dax13,913.3039127401322,9.332507178749012,746.2480421756375,1080.359783304627,728,Religious donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior2,15 to 64,2018,gs1datot,619.1631673547578,3.8984601186406618,571.853891558447,666.4724431510685,7214,Total donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior2,65 plus,2018,gs1datot,822.6235653188025,4.412917412049514,751.4735435840038,893.7735870536013,3431,Total donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior2,15 to 64,2018,SecDonAmt,347.52495864458945,3.9296133638755206,320.758931538963,374.2909857502159,6881,Secular donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior2,65 plus,2018,SecDonAmt,428.67486528992646,4.997937197081994,386.6828318457159,470.666898734137,3219,Secular donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior2,15 to 64,2018,gs1dax13,843.2690377774901,5.967656705353765,744.6369836948161,941.9010918601641,2455,Religious donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior2,65 plus,2018,gs1dax13,908.2113684660511,6.045781711011787,800.5927314684797,1015.8300054636226,1675,Religious donation amount,Older Canadians Average Donation Amounts,CA (without QC),
Senior,15 to 64,2018,gs1datot,891.6387840585179,11.28534737048323,694.4183213183194,1088.8592467987164,782,Total donation amount,Older Canadians Average Donation Amounts,AB,
